,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
422,1820,1719.0,100.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
424,14880,0.0,96.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
425,2666,4300.0,121.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
426,4606,0.0,81.0,360.0,1.0,0,0,1,0,0,1,0,0,0,0
427,5935,0.0,133.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
428,2920,16.12000084,87.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
429,2717,0.0,60.0,180.0,1.0,1,0,0,0,0,1,0,0,1,1
430,8624,0.0,150.0,360.0,1.0,0,0,1,0,0,0,1,1,0,1
431,6500,0.0,105.0,360.0,0.0,1,0,0,0,0,0,0,0,0,0
433,2425,2340.0,143.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
434,3750,0.0,100.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
436,1926,1851.0,50.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
438,10416,0.0,187.0,360.0,0.0,1,0,0,0,0,0,1,0,1,0
439,7142,0.0,138.0,360.0,1.0,0,1,0,0,0,1,1,0,0,1
440,3660,5064.0,187.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
441,7901,1833.0,180.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
442,4707,1993.0,148.0,360.0,1.0,1,0,0,0,1,1,0,1,0,1
443,37719,0.0,152.0,360.0,1.0,1,0,1,0,0,0,0,1,0,1
445,3466,1210.0,130.0,360.0,1.0,1,1,1,0,0,0,1,0,0,1
446,4652,0.0,110.0,360.0,1.0,1,1,0,1,0,1,0,0,0,1
448,3340,1710.0,150.0,360.0,0.0,1,1,0,1,0,0,0,0,0,0
450,2309,1255.0,125.0,360.0,0.0,1,1,0,1,0,1,0,0,0,0
452,3948,1733.0,149.0,360.0,0.0,1,1,0,0,0,0,0,0,0,0
453,2483,2466.0,90.0,180.0,0.0,1,1,0,0,0,0,0,0,0,1
454,7085,0.0,84.0,360.0,1.0,1,0,0,0,0,0,1,1,0,1
455,3859,0.0,96.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
456,4301,0.0,118.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
457,3708,2569.0,173.0,360.0,1.0,1,1,0,0,0,0,0,0,1,0
458,4354,0.0,136.0,360.0,1.0,1,0,0,1,0,0,0,0,0,1
459,8334,0.0,160.0,360.0,1.0,1,1,0,0,0,0,0,1,0,0
461,7740,0.0,128.0,180.0,1.0,1,1,0,0,1,0,0,0,1,1
462,3015,2188.0,153.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
464,4166,0.0,98.0,360.0,0.0,1,0,0,0,0,0,0,1,0,0
465,6000,0.0,140.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
466,2947,1664.0,70.0,180.0,0.0,1,1,0,0,1,1,0,0,1,0
469,4333,2451.0,110.0,360.0,1.0,1,1,0,0,0,0,0,0,1,0
470,3450,2079.0,162.0,360.0,1.0,1,1,1,0,0,0,1,1,0,1
471,2653,1500.0,113.0,180.0,0.0,1,1,1,0,0,1,0,0,0,0
472,4691,0.0,100.0,360.0,1.0,1,1,0,0,1,0,0,1,0,1
474,5532,4648.0,162.0,360.0,1.0,1,0,0,1,0,0,0,0,0,1
475,16525,1014.0,150.0,360.0,1.0,1,1,0,1,0,0,1,0,0,1
476,6700,1750.0,230.0,300.0,1.0,1,1,0,1,0,0,0,1,0,1
478,16667,2250.0,86.0,360.0,1.0,1,1,1,0,0,0,1,1,0,1
480,4350,0.0,154.0,360.0,1.0,0,0,0,0,0,1,0,0,0,1
481,3095,0.0,113.0,360.0,1.0,1,1,0,0,1,1,0,0,0,1
482,2083,3150.0,128.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
483,10833,0.0,234.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
484,8333,0.0,246.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
485,1958,2436.0,131.0,360.0,1.0,1,1,1,0,0,1,0,0,0,1
486,3547,0.0,80.0,360.0,0.0,1,0,0,1,0,0,0,0,0,0
487,18333,0.0,500.0,360.0,1.0,1,1,1,0,0,0,0,0,1,0
488,4583,2083.0,160.0,360.0,1.0,1,1,0,1,0,0,1,1,0,1
489,2435,0.0,75.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
492,3691,0.0,110.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
493,17263,0.0,225.0,360.0,1.0,0,0,0,0,0,1,1,1,0,1
494,3597,2157.0,119.0,360.0,0.0,1,1,0,0,0,0,0,0,0,0
495,3326,913.0,105.0,84.0,1.0,0,1,1,0,0,0,0,1,0,1
496,2600,1700.0,107.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
498,2895,0.0,95.0,360.0,1.0,1,1,1,0,0,0,1,1,0,1
499,6283,4416.0,209.0,360.0,0.0,1,0,0,0,0,0,0,0,0,0
500,645,3683.0,113.0,480.0,1.0,0,0,0,0,0,0,0,0,0,1
501,3159,0.0,100.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
502,4865,5624.0,208.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
504,3814,1483.0,124.0,300.0,1.0,1,1,0,0,0,1,0,1,0,1
505,3510,4416.0,243.0,360.0,1.0,1,1,0,1,0,0,0,0,0,1
508,2479,3013.0,188.0,360.0,1.0,1,1,0,0,0,0,1,0,1,1
509,13262,0.0,40.0,360.0,1.0,0,0,1,0,0,0,0,0,1,1
510,3598,1287.0,100.0,360.0,1.0,1,0,0,0,0,1,0,0,0,0
511,6065,2004.0,250.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
512,3283,2035.0,148.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
513,2130,6666.0,70.0,180.0,1.0,1,1,0,0,0,0,0,1,0,0
514,5815,3666.0,311.0,360.0,1.0,1,0,0,0,0,0,0,0,0,0
515,3466,3428.0,150.0,360.0,1.0,1,1,0,0,1,0,0,0,0,1
516,2031,1632.0,113.0,480.0,1.0,0,1,0,1,0,0,0,1,0,1
518,4683,1915.0,185.0,360.0,1.0,1,0,0,0,0,0,0,1,0,0
519,3400,0.0,95.0,360.0,1.0,0,0,0,0,0,1,0,0,0,0
520,2192,1742.0,45.0,360.0,1.0,1,1,0,1,0,1,0,1,0,1
521,2500,0.0,55.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
522,5677,1424.0,100.0,360.0,1.0,1,1,0,0,1,0,1,0,0,1
523,7948,7166.0,480.0,360.0,1.0,1,1,0,1,0,0,1,0,0,1
525,17500,0.0,400.0,360.0,1.0,1,1,0,1,0,0,1,0,0,1
526,3775,0.0,110.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
527,5285,1430.0,161.0,360.0,0.0,1,1,1,0,0,1,0,1,0,1
528,2679,1302.0,94.0,360.0,1.0,1,0,1,0,0,1,0,1,0,1
529,6783,0.0,130.0,360.0,1.0,1,0,0,0,0,1,0,1,0,1
531,4281,0.0,100.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
532,3588,0.0,110.0,360.0,0.0,1,0,0,1,0,0,0,0,0,0
534,18165,0.0,125.0,360.0,1.0,0,0,0,0,0,1,1,0,1,1
536,6133,3906.0,324.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
537,3617,0.0,107.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1
538,2917,536.0,66.0,360.0,1.0,1,1,0,0,0,1,0,0,0,0
539,6417,0.0,157.0,180.0,1.0,1,1,0,0,1,0,0,0,0,1
540,4608,2845.0,140.0,180.0,1.0,0,1,1,0,0,0,0,1,0,1
541,2138,0.0,99.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
543,2239,2524.0,128.0,360.0,1.0,1,1,1,0,0,1,0,0,1,1
545,2768,1950.0,155.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
546,3358,0.0,80.0,36.0,1.0,1,0,0,0,0,1,0,1,0,0
547,2526,1783.0,145.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
548,5000,0.0,103.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
549,2785,2016.0,110.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
552,3333,3250.0,158.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
553,2454,2333.0,181.0,360.0,0.0,1,1,0,0,0,1,0,0,1,0
554,3593,4266.0,132.0,180.0,0.0,1,1,0,0,0,0,0,0,0,0
555,5468,1032.0,26.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
557,10139,0.0,260.0,360.0,1.0,1,1,0,0,1,0,1,1,0,1
558,3887,2669.0,162.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
559,4180,2306.0,182.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
560,3675,242.0,108.0,360.0,1.0,1,1,0,1,0,1,0,1,0,1
561,19484,0.0,600.0,360.0,1.0,0,1,1,0,0,0,1,1,0,1
562,5923,2054.0,211.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
563,5800,0.0,132.0,360.0,1.0,1,0,0,0,0,1,1,1,0,1
564,8799,0.0,258.0,360.0,0.0,1,1,0,1,0,0,0,0,1,0
566,3333,0.0,70.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
567,3400,2500.0,123.0,360.0,0.0,1,1,0,0,1,0,0,0,0,0
568,2378,0.0,9.0,360.0,1.0,0,0,0,0,0,0,0,0,1,0
569,3166,2064.0,104.0,360.0,0.0,1,1,0,0,0,0,0,0,1,0
570,3417,1750.0,186.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
572,16666,0.0,275.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
573,6125,1625.0,187.0,480.0,1.0,1,1,0,1,0,1,0,1,0,0
574,6406,0.0,150.0,360.0,1.0,1,1,0,0,1,0,0,1,0,0
575,3159,461.0,108.0,84.0,1.0,1,1,0,1,0,0,0,0,1,1
577,3229,2739.0,110.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
578,1782,2232.0,107.0,360.0,1.0,1,1,1,0,0,0,0,0,0,1
580,6540,0.0,205.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
581,1836,33837.0,90.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
582,3166,0.0,36.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
584,2787,1917.0,146.0,360.0,0.0,1,1,1,0,0,0,0,0,0,0
585,4283,3000.0,172.0,84.0,1.0,1,1,1,0,0,0,0,0,0,0
586,2297,1522.0,104.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
587,2165,0.0,70.0,360.0,1.0,0,0,0,0,0,1,0,1,0,1
589,2726,0.0,106.0,360.0,0.0,1,1,0,1,0,0,1,1,0,0
590,3000,3416.0,56.0,180.0,1.0,1,1,0,0,0,0,0,1,0,1
591,6000,0.0,205.0,240.0,1.0,1,1,0,1,0,0,1,1,0,0
593,3859,3300.0,142.0,180.0,1.0,1,1,0,0,0,0,0,0,0,1
594,16120,0.0,260.0,360.0,1.0,1,1,0,0,0,0,1,0,1,1
595,3833,0.0,110.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
596,6383,1000.0,187.0,360.0,1.0,1,1,0,1,0,1,1,0,0,0
598,9963,0.0,180.0,360.0,1.0,1,1,0,0,0,0,1,0,0,1
599,5780,0.0,192.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
602,5703,0.0,128.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
603,3676,4301.0,172.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
604,12000,0.0,496.0,360.0,1.0,0,1,1,0,0,0,0,1,0,1
606,3400,2500.0,173.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
607,3987,1411.0,157.0,360.0,1.0,1,1,0,1,0,1,0,0,0,1
608,3232,1950.0,108.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
609,2900,0.0,71.0,360.0,1.0,0,0,0,0,0,0,0,0,0,1
610,4106,0.0,40.0,180.0,1.0,1,1,0,0,1,0,0,0,0,1
611,8072,240.0,253.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
612,7583,0.0,187.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
613,4583,0.0,133.0,360.0,0.0,0,0,0,0,0,0,1,1,0,0
